epoch,angle_diffusion_voxel,angle_combined_diffusion,angle_combined_voxel,angle_sum_combined,angle_deviation_from_90
0,91.01238120773195,20.714741580240712,53.288828479358024,74.00357005959873,-15.99642994040127
1,79.51893003018105,32.16911747168765,38.56843880846843,70.73755628015607,-19.26244371984393
2,78.67258052566591,28.73668987794111,39.90248824254082,68.63917812048193,-21.36082187951807
3,80.3539912639447,30.285422303737313,39.965208559146795,70.25063086288411,-19.74936913711589
4,79.06434487730888,24.917371459503414,38.610623622878215,63.52799508238163,-26.47200491761837
5,81.05630549673647,27.021381898380127,39.6374322262452,66.65881412462534,-23.341185875374663
6,80.5818819501625,21.348740750479863,38.8394140813709,60.18815483185076,-29.81184516814924
7,81.74692552247527,22.000105084913216,39.91614620208951,61.91625128700272,-28.083748712997277
8,83.42636815393075,18.86881793612872,42.71083613758401,61.57965407371273,-28.42034592628727
9,83.56853161445564,25.296764344823643,41.44708768112778,66.74385202595143,-23.256147974048574
10,82.83658601762484,24.441569096469667,38.60710185671281,63.04867095318248,-26.95132904681752
11,82.58085352899008,25.8475288453326,38.929398850928486,64.77692769626108,-25.223072303738917
12,80.71946455226305,29.568908457205215,39.246735651821815,68.81564410902703,-21.184355890972967
13,81.23081009832521,27.203675286442724,38.896444334894895,66.10011962133763,-23.899880378662374
14,81.31739750495478,31.535911279105694,39.49385660266487,71.02976788177057,-18.970232118229433
15,83.03949565374927,25.82328328414202,40.3271573565993,66.15044064074132,-23.849559359258677
16,84.20257146820795,27.910875356640176,41.714104966080114,69.62498032272029,-20.37501967727971
17,85.41122912656755,32.482056835224164,42.345519243382334,74.8275760786065,-15.172423921393502
18,85.68143019585473,32.10615340263389,41.626152451555896,73.73230585418979,-16.26769414581021
19,86.22195732441139,32.04502871056352,39.74942289778318,71.79445160834669,-18.20554839165331
20,86.68998013203988,34.76120510935364,43.62477656933445,78.3859816786881,-11.614018321311903
21,86.30657076757355,30.58444930664207,41.464554613339345,72.04900391998142,-17.950996080018584
22,85.82037070686854,29.15153298476916,39.850328386183726,69.0018613709529,-20.998138629047105
23,86.99757631894387,32.09742219664154,44.528755939874664,76.6261781365162,-13.373821863483798
24,87.32998553010489,32.06330159096204,41.94902693550278,74.01232852646481,-15.987671473535187
25,87.35211502469762,32.944060697299044,40.12460561047187,73.06866630777091,-16.93133369222909
26,87.34995531038919,31.93740284525965,43.12854433655425,75.0659471818139,-14.934052818186103
27,87.01026516831692,32.813453203733765,42.633684804763554,75.44713800849732,-14.552861991502681
28,85.76703629403674,34.055071957488764,42.71791438475483,76.7729863422436,-13.227013657756402
29,85.97987906835844,29.73195014887047,42.306542883976256,72.03849303284673,-17.96150696715327
30,85.2244944218369,33.433397462202606,42.08020381515943,75.51360127736203,-14.486398722637972
31,85.16153194529815,31.715024470479758,42.55400121232434,74.2690256828041,-15.730974317195901
32,85.07688342239791,31.469070190132022,42.07915717810604,73.54822736823806,-16.45177263176194
33,84.58764507527073,30.078717573041907,41.4399421862685,71.51865975931041,-18.48134024068959
34,86.0458271608629,0.0,42.317261869693034,42.317261869693034,-47.682738130306966
35,84.44214548719118,20.95463545431176,39.9334867620057,60.888122216317456,-29.111877783682544
36,85.1133138724601,27.372069696692648,41.97826770378683,69.35033740047948,-20.649662599520525
37,83.67395253274616,26.39964850182599,40.8475100304007,67.24715853222669,-22.752841467773308
38,86.09028056035105,32.200098776637724,43.92623800742715,76.12633678406488,-13.873663215935125
39,86.26974251956791,33.040757094848665,43.162200127155124,76.20295722200379,-13.79704277799621
40,86.03106935115957,29.544419956439675,43.217502580328464,72.76192253676814,-17.23807746323186
41,86.26574452279209,29.628763548981762,41.508734051841316,71.13749760082308,-18.86250239917692
